,name,address,min_price,max_price,currency,cuisine,description,star,comfort,delightful,services,phone,website,hours,lat,lon,url,country,country_alpha2,continent_code,USD_min_price,USD_max_price,aggregate_cuisine
10,Mori Sushi,"11500 W. Pico Blvd., Los Angeles, 90064, United States",75.0,150.0,USD,JAPANESE,"Perfectionists will thrill to a meal at this Westside sushiya, where everything from the homemade tofu to the kitchen's selection of seasonal fish is nothing short of exquisite. Everything inside the dining room is finely calibrated to highlight the wizardry behind the ubiquitous bar—soft lighting, white walls, wood accents and handcrafted ceramics. Even the wine and sake list is restrained, with each varietal specifically chosen to complement the fish. Despite such delicacy, Mori is far from stuffy. This ship is steady with Chef Masanori “Maru” Nagano at the helm, explaining the provenance of each bite of the nigiri and omakase. A majority of the selection is flown in directly from Japan—with a few worthy exceptions, including the luscious Santa Barbara uni. The tasting might start with a dollop of creamy tofu brushed with soy sauce and a dab of wasabi, before progressing into wonderful bites of seared madai and lightly torched baby barracuda. Nigiri are ever-changing but may showcase sweet shrimp; rich and tart kohada; or outstanding buri. A cooling scoop of buckwheat ice cream serves as the final memento, but really, it's the savory eats that will linger on for weeks to come.",1.0,1.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list']",+1 310-479-3939,www.morisushila.com,Dinner Mon - Sat,34.033398,-118.44228999999999,https://guide.michelin.com/en/california/us-los-angeles/restaurant/mori-sushi,United States,US,NA,75.0,150.0,JAPANESE
11,Kato,"11925 Santa Monica Blvd., West Los Angeles, 90025, United States",50.0,75.0,USD,ASIAN,"This small dining room looks spare but is in fact warm and lively, with a casual team of servers effectively managing each table and proving themselves knowledgeable and passionate about the cooking here. The cuisine is contemporary Asian but not strictly so; and is deftly prepared by California native, Chef Jon Yao—who trained under Chef Daniel Patterson at Coi. Naturally, his work in this kitchen is unique, with dishes that are at once simple and complex, playful and serious. In sum, this is a restaurant that showcases an ambitious young chef who is unafraid to change the menu in accordance with the day’s produce or his own whim. The results leave the door open to greatness and maybe a bit of quirk. With only one carte on offer, guests may look forward to offerings that feature fine local products at the hands of a very impressive kitchen. The judicious use of deeply flavored sauces and charred elements are repeated showstoppers. Memorable dishes include cold somen in a tomato-shoyu broth with clams and chrysanthemum petals; or grilled abalone with house XO sauce. Homemade yuzu lemonade or refreshing strawberry sodas are some of the creative quenchers at this alcohol-free spot.",1.0,1.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 424-535-3041,www.katorestaurant.com,Dinner Tue - Sat,34.041683,-118.46091499999999,https://guide.michelin.com/en/california/west-los-angeles/restaurant/kato,United States,US,NA,50.0,75.0,ASIAN
12,Rustic Canyon,"1119 Wilshire Blvd., Santa Monica, 90401, United States",50.0,75.0,USD,CALIFORNIAN,"Chef Jeremy Fox’s seasonal kitchen and wine bar already has the feeling of a timeless institution. The dining room and lounge are toasty and relaxed with an unpretentious neighborhood vibe, thanks to the boisterous local crowd. A large picture window overlooking the street brightens the dark wood tables and cushioned banquettes. The market-inspired menu is proudly crammed with the names of local farmers, reminding guests of the humble ingredients at the base of each sophisticated composition. The kitchen’s versatility and range of talent is clear from the first bite of green beans in shallot vinaigrette with a delectable heap of shaved cheese. Heavily embellished or more ambitious dishes are just as pleasing—especially the unexpected combination of earthy-sweet beets, grains and berries all held in perfect balance. The aromatic pozole verde is wonderfully tangy and refreshing, loaded with Hope Ranch mussels, hominy and fried tortilla strips. Much of this elevated farm-to-table menu is designed for sharing. Breads and desserts are a formidable treat here, so be sure to try the bread au chocolat made with chunks of caramelized brioche, or ice cream in flavors like pea, mint and macadamia.",1.0,2.0,0.0,"['Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 310-393-7050,www.rusticcanyonrestaurant.com,Dinner nightly,34.024952,-118.49118,https://guide.michelin.com/en/california/santa-monica/restaurant/rustic-canyon,United States,US,NA,50.0,75.0,CALIFORNIAN
13,Dialogue,"1315 3rd St. Promenade, Ste. K, Santa Monica, 90401, United States",75.0,150.0,USD,CONTEMPORARY,"Secreted away in The Gallery Food Hall (a remodeled food court), finding this tricky location can feel like an adventure, albeit a glorious one. Just exit the elevator on the second floor and head for the first door on the left. The small interior is bright and noisy, warmed up by the open kitchen as well as Chef Dave Beran’s commentary and insights into his cooking. There may be banquettes, but a seat at the counter provides a necessary view into the action and preparation of intricate plates. The suited servers are well coordinated and flaunt a friendly demeanor. The cooking exudes inspiration from start to finish. The kitchen is particularly adept in its delicately steamed nuggets of lobster with a dollop of béarnaise covered in nasturtium. An effort to show seasonal flavors can seem daring in a city not known for its autumn foliage. Yet this is handled with wit and talent, through a dish of “fallen leaves” served on a square “plate” of dried birch bark and arranged with fried sweetbreads. Overall, this cuisine's vision and meticulous plating feels veritably unconfined, as it glides seamlessly from modernism to Japanese fare, with a wintry finale of coconut and chocolate pudding.",1.0,2.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",Not Available,www.dialoguerestaurant.com,Dinner Tue - Sat,34.01679,-118.49748000000001,https://guide.michelin.com/en/california/santa-monica/restaurant/dialogue,United States,US,NA,75.0,150.0,CONTEMPORARY
14,Bistro Na's,"9055 Las Tunas Dr., Ste. 105, Temple City, 91780, United States",25.0,50.0,USD,CHINESE,"Find the standout Bistro Na's in an ordinary shopping block, set just off Rosemead Boulevard. Yes, its façade may appear rather sterile, but one foot inside this expansive room and you will be enveloped in warmth and cordiality. The gentle strains of soothing tunes, bright red and gold accents, as well as ample, well-accoutered tables segue smoothly into a classic and regal Chinese repast. Proficient and accommodating, the staff is happy to steer diners through the menu—a veritable tome—and wine list. Dishes are then turned out in a judicious manner, unveiling such stellar presentations as sweet and tender shell-on shrimp seasoned with dried red chilies along with more inventive combinations like braised sea cucumber with beef tendon and scallions. Neatly trimmed and gently seared New Zealand lamb chops arrive with lightly fried onions for a divine coupling, and may warrant an order of the perfectly fluffy shrimp fried rice with egg and bonito. Donning a joyous demeanor and buzzing with an appealing mix of diners, this elegant statesman in Temple City certainly feels like a special-occasion destination.",1.0,2.0,1.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 626-286-1999,www.bistronas.com,Lunch & dinner daily,34.104411999999996,-118.07158999999999,https://guide.michelin.com/en/california/temple-city/restaurant/bistro-na-s,United States,US,NA,25.0,50.0,CHINESE
15,Trois Mec,"716 N. Highland Ave., Hollywood, 90028, United States",75.0,150.0,USD,CONTEMPORARY,"Fun, creative and consistently delicious, there is no doubt as to why this bijou is always shining. It should come as no surprise though, as the “Three Guys” for which the restaurant is named are Chefs Ludo Lefebvre, Jon Shook and Vinny Dotolo, all of whom are renowned for other hot spots like Petit Trois and Animal. In classic LA style, the cozy establishment is located in a modest space. But have faith in the fact that its contemporary décor combining cool stone with warm wood bears no resemblance to its former life as a pizza parlor. Service is knowledgeable, attentive and speedy with an audible “Bonjour!” as guests enter the room. There is one nightly tasting menu that begins with canapés like savory madeleines or a radicchio spring roll set over black olive tapenade. The five larger dishes that follow may highlight an impeccably cooked lamb loin with yogurt and a dollop of mint pesto. Desserts are often reinterpreted French classics, as seen in the chestnut cream encased by shards of meringue, dusted with mushroom powder. This cuisine is ambitious and every dish might not achieve its lofty goal, but that does not diminish the fact that dining here is a special and singular experience.",1.0,1.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 323-484-8588,www.troismec.com,Dinner Tue - Sat,34.084255,-118.33851000000001,https://guide.michelin.com/en/california/hollywood/restaurant/trois-mec,United States,US,NA,75.0,150.0,CONTEMPORARY
16,Sushi Ginza Onodera,"609 N. La Cienega Blvd., Hollywood, United States",75.0,150.0,USD,JAPANESE,"Sushi aficionados may have to look a little harder to discover this jewel box, hidden among a host of high-end boutiques. Sushi Ginza Onodera may have outposts around the world, but its fame has not diluted the exemplary quality of this cuisine. That said, it comes with a hefty price tag, though their strictly enforced no-tipping policy certainly helps. Notable attention is also given to the light-filled space, resplendent with Japanese elegance; and the knowledgeable staff is just as pleasing and impressive as the meal itself. Fish of this caliber is not easy to find and the kitchen gives each morsel the painstaking care it deserves. Surprises and delights abound in the delirious array of courses, starting with an earthenware cup of chawanmushi topped with Italian caviar and a petal of uni.  Some might feel guilty devouring squid in a matter of seconds after watching the exacting chefs take ten minutes to prepare it, but the experience is utterly memorable. The nigiri are a clear highlight here, revealing tiger shrimp with miso, sea perch seared for a hint of smoke as well as a duo of anago with shanso and yuzu zest. The signature matcha- and coconut-panna cotta is a delectable finale.",2.0,3.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list', 'Valet parking']",+1 323-433-4817,www.onodera-group.com,Dinner Tue - Sun,34.08238,-118.37653999999999,https://guide.michelin.com/en/california/hollywood/restaurant/sushi-ginza-onodera559850,United States,US,NA,75.0,150.0,JAPANESE
17,Providence,"5955 Melrose Ave., Hollywood, 90038, United States",75.0,150.0,USD,SEAFOOD,"For over a decade, Providence has been at the forefront of LA’s fine-dining scene. Little has changed here, which is a beautiful thing. The dining room is as formal as the suited staff, who are well-orchestrated and on the cooler side of attentive. Even just watching each course as it leaves the kitchen, artistically presented on bespoke plates, is a pleasure to the senses. Each of the three tasting menus features the freshest and most sustainable seafood, often wild-caught from American waters. Chef Michael Cimarusti uses these ingredients deftly to craft his California cuisine inspired by the flavors and ideas of Asia and the Mediterranean. The sheer range of styles proves this kitchen’s talent and technical know-how, using classic methods to pair seafood with rich sauces. The uni egg served in its shell with warm yolk and champagne beurre-blanc is—unsurprisingly—a luxurious signature. Meals here usually begin on a high note with a diverse selection of canapés, including the nasturtium leaf taco filled with sushi rice, arare crackers and sea beans; or pickled sardine crostini topped with coriander blossom. Raspberry-rose semifreddo set atop lychee granité makes for a pristine palate-cleanser.",2.0,3.0,0.0,"['Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Valet parking']",+1 323-460-4170,www.providencela.com,Lunch Fri Dinner nightly,34.083523,-118.33018999999999,https://guide.michelin.com/en/california/hollywood/restaurant/providence,United States,US,NA,75.0,150.0,SEAFOOD
18,Osteria Mozza,"6602 Melrose Ave., Hollywood, 90028, United States",50.0,75.0,USD,ITALIAN,"A mega hit since opening over a decade ago, this Hollywood darling—sitting on a prominent corner of Melrose Avenue—continues to please with creative cocktails and delicious Italian cuisine. Its entrance is clearly marked outside the massive one-story building, though it is also home to Pizzeria Mozza, as well as a to-go option. The décor veers from typical osteria-style, thanks to handsome dark-wood paneling and a beautiful white marble counter. The front room is lively with music, while the back is quieter. A seat at the Mozza bar lets guests have a prime view of the antipasti being prepared. This kitchen strives to show you around the corners of Italian cooking, so dive right in with the calf’s brain ravioli with burro e limone. Bread is something of an obsession here—don’t be shocked to see hungry diners tucking a slice of multigrain or two into their purses.The crispy chicken leg is pure and simple comfort food; and pastas are unsurprisingly phenomenal—try the orecchiette with sausage and Swiss chard. Other highpoints  include the mozzarella menu, which should be explored with gusto, as should the very smart wine list. Waits-for tables and again between courses-are to be expected.",1.0,3.0,0.0,"['Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 323-297-0100,www.osteriamozza.com,Dinner nightly,34.083420000000004,-118.338974,https://guide.michelin.com/en/california/hollywood/restaurant/osteria-mozza,United States,US,NA,50.0,75.0,ITALIAN
19,Kali,"5722 Melrose Ave., Hollywood, 90028, United States",50.0,75.0,USD,CALIFORNIAN,"Blending seamlessly into its surrounds, this modest storefront forms the very essence of neighborhood dining. Make your way inside to discover Chef Kevin Meehan's kitchen, whose credentials and locavore spirit are just as formidable as its eclectic wines and craft beers. The main room sports a restful, Scandinavian look that mixes caramel tones and leather banquettes with wood tables. Service has a fine-dining feel; and the mission of this kitchen is clear—wholly organic and sustainable cuisine. A meat refrigerator displaying dry-aged ducks, steaks and even a whole pig’s head is a natural conversation-starter and keeps all eyes on the food, which in turn lives up to its promise. Imagine a distinct spin on local flavors and of-the-moment techniques, like fermentation, preservation and deep charring to get a sense of what this place is about. Creativity also dominates each course, as seen in the barley risotto. Everything paired with the hanger steak, like buttermilk-garlic jus and porcini mushrooms with roasted potatoes, tastes like its perfect complement. When considering its ingredient quality and chef's ability, it is quite apparent that a meal at Kali offers diners a stellar deal.",1.0,2.0,0.0,"['Brunch', 'Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 323-871-4160,www.kalirestaurant.com,Lunch Sun - Fri Dinner nightly,34.083443,-118.32455,https://guide.michelin.com/en/california/hollywood/restaurant/kali,United States,US,NA,50.0,75.0,CALIFORNIAN
20,Shibumi,"815 S. Hill St., Los Angeles, 90014, United States",75.0,150.0,USD,JAPANESE,"There may be no more pleasurable place to learn about kappo-style cuisine, which has only recently made inroads into the American dining scene, than this stellar Japanese dining counter. The latter is crafted from a centuries-old cypress tree, set before chefs grating wasabi and a backdrop of amber-hued whisky. While the décor feels minimalist, surrounded by an industrial edge of soaring concrete ceilings and exposed pipes, service is wonderfully engaging and attentive, with thorough explanations of each unique course. À la carte is offered, but the multi-course kappo-style is the best way to experience this kitchen's creations. Dishes bring together a unique range of inspired Japanese flavors, but equal attention is given to texture and artistic presentations. Fixed menus here present a progression of courses selected by the chefs, which may include a few raw dishes. Highlights reveal an innovative ""true chicken teriyaki"" that has been dried and rehydrated to render enticingly chewy results. A bowl of California rice with favas, peas and shiso makes for a delicious prelude to Holstein steak topped with spicy wasabi and diced pickled plum that's been aged for four years.",1.0,2.0,0.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list']",+1 323-484-8915,www.shibumidtla.com,Dinner Tue - Sun,34.044154999999996,-118.256134,https://guide.michelin.com/en/california/us-los-angeles/restaurant/shibumi559644,United States,US,NA,75.0,150.0,JAPANESE
