,name,address,min_price,max_price,currency,cuisine,description,star,comfort,delightful,services,phone,website,hours,lat,lon,url,country,country_alpha2,continent_code,USD_min_price,USD_max_price,aggregate_cuisine,coast,region
45,Omakase,"665 Townsend St., San Francisco, 94103, United States",75.0,150.0,USD,JAPANESE,"True, the vibe is friendly and the location is convenient for tech entrepreneurs, but superb Edomae sushi is the real reason why Omakase is always full. Ergo, reservations are required and punctuality is a must. The kimono-clad servers strain to place dishes in front of diners, who usually sit elbow-to-elbow at the tight L-shaped counter, but the chummy young professionals and gourmands don’t seem to notice anything but the chefs. Choose from two omakase menus; the more extensive (and expensive) one offers additional sashimi and nigiri. Begin with buttery ocean trout steamed in sake and presented with a wedge of heirloom black tomato as well as an herb salad in rice wine vinaigrette. Beautifully arranged sashimi features bluefin tuna with red-fleshed sea perch, garnished with cured kombu, shiso leaf, wasabi and a bit of chrysanthemum petal salad. Still, no dish can compare with the exquisite level of nigiri, which may showcase marinated chutoro, cedar-torched sea bream, Hokkaido uni with house-brined ikura and a fluffy piece of lobster-infused tamago. Extreme attention to detail is the hallmark of dining here, with customized portions of rice and wasabi adjustments for each guest's palate.",1.0,1.0,1.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers']",+1 415-865-0633,www.omakasesf.com,Dinner nightly,37.77077,-122.40298,https://guide.michelin.com/en/california/san-francisco/restaurant/omakase,United States,US,,75.0,150.0,JAPANESE,0,NC
46,Lord Stanley,"2065 Polk St., San Francisco, 94109, United States",50.0,75.0,USD,CALIFORNIAN,"Like the husband-and-wife team who own it, Lord Stanley is half European and half Californian. Superlative ingredients and a sun-filled space lend it an undeniable West Coast vibe, while house-made breads, confections and an intriguing wine list of European vintages make it clear that these chefs were trained across the pond. Yet this is a charming little establishment right at home in its central Polk Street location, filled with a casual crowd of locals streaming in—imagine windows which offer a stellar, sweeping view of the neighborhood. Inside, the dining room is furnished with small bistro tables, while a larger communal table on the balcony welcomes groups. Bare wood tabletops set with hand-crafted cutlery and warmed by candlelight set a simple and cozy atmosphere for enjoying meals that highlight artisanal and organic ingredients. Not unlike the space, the cooking here is approachable yet refined. A Berkshire pork chop is meltingly tender, balanced with just the right blend of sweet and sour flavors. Come dessert, a deconstructed dark chocolate pudding with sesame crisp is unmissable. Be sure to quiz the attentive staff on the dishes-they'll happily explain each intricate layer.",1.0,2.0,0.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers']",+1 415-872-5512,www.lordstanleysf.com,Dinner Tue - Sat,37.79592,-122.42208,https://guide.michelin.com/en/california/san-francisco/restaurant/lord-stanley,United States,US,,50.0,75.0,CALIFORNIAN,0,NC
48,Californios,"3115 22nd St., San Francisco, 94110, United States",75.0,150.0,USD,MEXICAN,"Set in a bohemian area known for its street tacos and bare bones eateries, Californios aims to elevate the Mission district’s south-of-the-border fare to contemporary Mexican cuisine and it more than succeeds. A complex, layered mole here isn’t just likely to please—it’s bound to turn your entire understanding of this nation’s cuisine on its head. The luxurious space only ups the appeal. Caramel-hued banquettes pop against dark-lacquered walls, while chandeliers and shelves of cookbooks further punctuate the upscale mien of the intimate room. You’ll feel as though you're dining in Chef Val M. Cantu’s very own atelier, made extra personal by the deeply knowledgeable staff, who seem to pride themselves on knowing every detail about the dishes coming out of the open kitchen. One lengthy tasting menu is served nightly. It changes often, but expect inventive items like squid-ink tostadas heaped with guacamole, Monterey squid and truffles. A wonderfully spicy flauta is filled with duck barbacoa; while butter-poached lobster is tucked into blue corn tortillas and topped with fennel and aji amarillo. Sorbet made from local guavas, nestled in a spread of pistachio butter is an astounding send-off.",2.0,2.0,1.0,['Establishment totally or partly reserved for non-smokers'],+1 415-757-0994,www.californiossf.com,Dinner Tue - Sat,37.75555,-122.417145,https://guide.michelin.com/en/california/san-francisco/restaurant/californios,United States,US,,75.0,150.0,MEXICAN,0,NC
49,Octavia,"1701 Octavia St., San Francisco, 94109, United States",50.0,75.0,USD,CALIFORNIAN,"Chef/owner Melissa Perello may already be a local culinary personality at Frances, but her sequel, Octavia, shines even brighter from its home in the tony lower Pacific Heights. Packed with a dynamic and diverse group of diners, the airy, open space feels minimalist and bistro-chic, from the white-tiled kitchen to those raw-wood benches lined with woolen pillows. Service is polite and efficient. Chef Perello has a gift for elevating straightforward dishes through the use of superb ingredients and beautifully executed technique, beginning with a smoked trout fillet on a bed of cream cheese with green mustard seeds and steamed potatoes. Kale salad is deliciously crunchy and nicely matched with diced fennel, creamy avocado, salty aged parmesan and breadcrumbs in a light vinaigrette. A petite filet of beef arrives tender and perfectly cooked to order, atop potatoes mashed with olive oil, grilled broccolini and cabbage dressed in rapini pesto. Desserts are imaginative and masterful, so save room for their completely new take on profiteroles, soft and fresh, filled with poppy seed-ice cream that is accented with tart rhubarb and kumquat. Tables fill early, so be sure to reserve well in advance.",1.0,2.0,0.0,"['Notable wine list', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 415-408-7507,www.octavia-sf.com,Dinner nightly,37.787857,-122.42709,https://guide.michelin.com/en/california/san-francisco/restaurant/octavia,United States,US,,50.0,75.0,CALIFORNIAN,0,NC
50,The Progress,"1525 Fillmore St., San Francisco, 94115, United States",50.0,75.0,USD,CALIFORNIAN,"This is the rare restaurant that guarantees its diners will never be bored, thanks to the sophisticated energy that flows directly from a notably ambitious kitchen. The gorgeous space has that Nordic look that California so loves, with plenty of bare wood, skylights and an affluent crowd appearing informal in their Patagonias. The hipster staff echoes the casual mood but performs attentive service. The focus is on family-style dining, but go ahead and order a few smaller dishes to accompany their platter-sized plates. Perfectly crisp artichokes, for instance, are at the center of an exceptionally good combination of preserved lemon and coriander chermoula, garnished with fragrant herbs and tender artichoke leaves. Barbecued Liberty Farms duck is cooked to absolute delight and presented with garlic- and ginger-infused crisped rice as well as meat so tender that it is practically falling off the bone. When they hit their mark, creations like this transcend their ingredients and technique to result in something genius, including the properly executed île flottante. Be sure to match this with one of their refreshing cocktails, like the house martini, finished with a droplet of rosemary oil.",1.0,2.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 415-673-1294,www.theprogress-sf.com,Dinner nightly,37.78371,-122.43282,https://guide.michelin.com/en/california/san-francisco/restaurant/the-progress,United States,US,,50.0,75.0,CALIFORNIAN,0,NC
52,Mourad,"140 New Montgomery St., San Francisco, 94105, United States",50.0,75.0,USD,MOROCCAN,"This glamorous outpost at the base of the PacBell building introduces the unique soul of Chef/owner Mourad Lahlou’s eponymous restaurant. The neighborhood's food-obsessed techies along with tourists flock to this boldly designed space, replete with soaring ceilings, glowing central columns and a superb (suspended) wine cellar. The crowd is contented and lively, and while the servers fit the bill, the sommelier is especially impressive. Chef Lahlou's expression of Moroccan cuisine is peppered with local and contemporary influences like maple and brown butter, as well as more traditional inflections such as charmoula and preserved lemon. Diners may commence with the basteeya, a traditional Moroccan pastry made modern with finely shredded duck and composed with verjus crème fraîche, compressed pear, edible flowers as well as cocoa paste. Couscous is jazzed up with savory brown butter and a host of vegetables, then hit with spicy harissa for a slight kick. Even dessert comes packed with flavor. For instance, the slender slice of pistachio cake set with candied pink grapefruit, fresh grapefruit segments, a quenelle of tangerine sorbet and orange-infused cream, is lush and delicious.",1.0,3.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Valet parking']",+1 415-660-2500,www.mouradsf.com,Lunch Mon - Fri Dinner nightly,37.78695,-122.39987,https://guide.michelin.com/en/california/san-francisco/restaurant/mourad,United States,US,,50.0,75.0,MEDITERRANEAN,0,NC
53,Lazy Bear,"3416 19th St., San Francisco, 94110, United States",75.0,150.0,USD,CONTEMPORARY,"Communal eating is at the heart of this fine-dining dinner party. Lazy Bear may have its origins as an underground phenom, but today anyone can try to score a seat. That is, after jumping through a few virtual hoops: buy a ticket in advance and wait for an e-mail listing house rules to be followed in earnest. Rest assured this is all worth the effort. The nightly tasting menu is dished out in a cool, bi-level warehouse and starts upstairs in the loft with aperitifs and snacks, like tempura beer-battered maitake mushrooms with a sour cream and onion dip or pig's head cheese with black truffle shavings. Then move downstairs to a dining room boasting two giant tree slabs as communal tables, each lined with 20 chairs. Diners are given a pencil and pamphlet informing them of the menu (with space for note-taking underneath) and are invited to enter the kitchen to chat with the talented cooks themselves. This leaves the young crowd dreamy-eyed with chef worship. Highlights include smoked trout on a blanket of trout roe, sorrel and brown rice, or dry-aged Sonoma County duck with a wonderful sweet and bitter yin and yang, courtesy of fermented kumquat and partially scorched broccolini.",2.0,2.0,1.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'Establishment totally or partly reserved for non-smokers']",+1 415-874-9921,www.lazybearsf.com,Dinner Tue - Sat,37.760204,-122.41969,https://guide.michelin.com/en/california/san-francisco/restaurant/lazy-bear,United States,US,,75.0,150.0,CONTEMPORARY,0,NC
54,Al's Place,"1499 Valencia St., San Francisco, 94110, United States",25.0,50.0,USD,CALIFORNIAN,"Vegetables are the star of the menu at this bright blue oasis on busy Valencia Street, even though it adheres to a mostly pescatarian philosophy, with meat options also available on the side. Chef/owner Aaron London (a.k.a. AL) is wildly adept with the seasons’ bounty, making a dish of blistered squash with pickled kohlrabi, hummus and creamy burrata feel as complex and luxurious as the offerings at a steakhouse. London’s menu is chockablock with creativity, from the brine-pickled French fries and flavorful ras el hanout olives that kick off each meal, to the silky grits topped with tangy goat’s milk curds, Brussels sprouts, chanterelles and yuzu. At times, the combinations can read like a five-car pile-up—cured trout, mashed turnips and bagna cauda? But the crew always manages to smoothly navigate the layers of flavor, blazing new trails in diners’ imaginations. Like the menu, Al's space is bright, open and cheerful, with plenty of natural light, bold colors and a casual but engaging staff. Embrace this energy, perhaps with a glass of French wine or a craft beer, and let the boisterous, creative spirit of the restaurant win you over.",1.0,2.0,0.0,"['Wheelchair accessible', 'Outdoor dining', 'Establishment totally or partly reserved for non-smokers']",+1 415-416-6136,www.alsplacesf.com,Dinner Wed - Sun,37.748924,-122.42013,https://guide.michelin.com/en/california/san-francisco/restaurant/al-s-place,United States,US,,25.0,50.0,CALIFORNIAN,0,NC
55,Wako,"211 Clement St., San Francisco, 94118, United States",75.0,150.0,USD,JAPANESE,"Wako blends right in with the sea of Asian restaurants on Clement Street, but don’t let its nondescript exterior fool you. Once inside, you will find a serene and spare dining room that is composed with beautiful, multi-hued wood surfaces and attended to by an exceedingly polite service staff. Fresh flowers add a bit of flourish and fun. It’s the kind of pristine culinary experience that connoisseurs and foodies crave. And since this kitchen boasts some of the best sushi in town, be sure to make reservations. The omakase (with a choice of two menus of varying length) may be the only option on offer, but rest assured as it's available throughout the restaurant. Nevertheless, a seat at the ubiquitous counter is likely to deliver a happier outcome. From the non-sushi items, diners may be presented with poached monkfish liver, a creamy potato croquette dolloped with salmon roe or a salad of shaved apple and mizuna. The real knockouts though arrive on rice: squid with a touch of shiso and Meyer lemon zest; silky salmon with house-made yuzu kosho; custardy uni imported from Japan, wrapped in roasted seaweed; and to finish, a melt-in-your-mouth slice of gently seared A5 Wagyu beef.",1.0,1.0,0.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers']",+1 415-682-4875,www.sushiwakosf.com,Dinner Tue - Sat,37.783035,-122.461525,https://guide.michelin.com/en/california/san-francisco/restaurant/wako,United States,US,,75.0,150.0,JAPANESE,0,NC
56,Kin Khao,"55 Cyril Magnin St., San Francisco, 94102, United States",25.0,50.0,USD,THAI,"Tucked into an alcove of the unprepossessing Parc 55 hotel, this restaurant won’t win any awards in the décor department—it’s spare and casual, with tables set with chopstick canisters and bowls of chili oil. But when it comes to delivering authentically layered, fiery Thai flavor with a produce-driven northern California flair, it has no equal. Kin Khao's menu conjures up dishes from across Thailand and is a virtual homage to local purveyors. Imagine a meaty and rich five-spice noodle soup infused with duck bones and stocked with bok choy as well as delightfully tender duck leg confit; or a deliciously fresh take on som tum, with julienned green papaya tossed with golden tomatoes, long beans, dried shrimp and crushed red chili. More traditional options may include classic pad kee mao showcasing wide, flat noodles stir-fried with a potent mixture of ground pork bits, bell pepper, onion and holy basil. Needless to say, those avoiding spicy food or craving plain old pad Thai should look elsewhere. But, if you're in the mood for a vibrant and zesty meal, then strap in for a wild and enticing ride. Come dessert, try the black rice pudding served warm and with myriad toppings.",1.0,1.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 415-362-7456,www.kinkhao.com,Lunch & dinner daily,37.785267,-122.40951,https://guide.michelin.com/en/california/san-francisco/restaurant/kin-khao,United States,US,,25.0,50.0,THAI,0,NC
57,Rich Table,"199 Gough St., San Francisco, 94102, United States",50.0,75.0,USD,CONTEMPORARY,"A rustic-chic décor highlighting reclaimed and raw wood gives Rich Table a farmhouse feel, and the crowds that pack it are equally stylish. The young professionals and pre-theater diners know that reserving in advance is a must. If you’re not lucky enough to secure a table, get in line 30 minutes before opening to snag one of the dozen coveted bar seats. Why all the fuss? Because Chefs/owners Evan and Sarah Rich execute casual Californian fare with fine-dining precision, interweaving a bevy of global influences along the way. The seared pierogies, stuffed with ricotta, morels and peas, are pristine enough to win a Polish grandmother’s approval, and a char siu-style pork chop is beautifully smoky and charred. The super-hip staff is thoroughly polished and happy to recommend a cocktail or wine. They'll push the duo of famous ""snacks""-crispy sardine-threaded chips and umami-packed porcini doughnuts with raclette dipping sauce. But skip them in favor of a seasonal dessert, like the tart cherry ice with almond ice cream and shiso.",1.0,2.0,0.0,"['Notable cocktail list', 'Establishment totally or partly reserved for non-smokers']",+1 415-355-9085,www.richtablesf.com,Dinner nightly,37.774914,-122.42271,https://guide.michelin.com/en/california/san-francisco/restaurant/rich-table,United States,US,,50.0,75.0,CONTEMPORARY,0,NC
